MVP,Death Duration Start,Death Duration End,MVP Code,Location,Element Weakness,Boss Type
Valkyrie Randgris,08:00,08:10,VR,@warp odin_tem03,SHADOW,RareMVP
Gloom Under Night,05:00,05:10,GLOOM,@warp ra_san05,ANY EXCEPT NEUTRAL,RareMVP
Memory of Thanatos,04:00,04:00,THANA,@warp thana_boss,SHADOW,RareMVP
Ifrit,11:00,11:10,IFRIT,@warp thor_v03,WATER,RareMVP
Fallen Bishop Hibram,02:00,02:10,FBH,@warp abbey02,HOLY,RareMVP
Beelzebub,12:00,12:10,BERZE,@warp abbey03,ANY EXCEPT NEUTRAL,RareMVP
Kraken,04:00,04:00,KRAKEN,@warp iz_dun04,WIND,RareMVP
General Daehyon,04:00,04:00,DAEHYON,@warp spl_fild03,FIRE,RareMVP
Gioia,04:00,04:10,GIOIA,@warp juperos_02,EARTH,RareMVP
LHZ3,03:00,03:30,LHZ3,@warp lhz_dun03,,RareMVP
LHZ4,03:00,03:30,LHZ4,@warp lhz_dun04,,RareMVP
Satan Morocc,04:00,04:00,SATAN,@warp moc_fild22,HOLY,RareMVP
Nidhoggur's Shadow,03:00,03:10,NYD,@warp nyd_dun02,HOLY,RareMVP
